batch_size,run_id,runtime_ms,throughput_files_s,memory_peak_mb
100,1,1942.66,51.48,27.67
100,2,1970.30,50.75,27.69
100,3,1980.43,50.49,27.78
100,4,1969.34,50.78,27.71
100,5,1976.17,50.60,27.77
100,6,1993.03,50.17,27.81
100,7,2020.82,49.48,27.81
100,8,1974.94,50.63,27.83
100,9,1989.90,50.25,27.80
100,10,1980.95,50.48,27.81
100,11,2011.49,49.71,27.86
100,12,1929.65,51.82,27.84
100,13,1953.54,51.19,27.84
100,14,1988.57,50.29,27.91
100,15,1950.17,51.28,27.88
100,16,1927.48,51.88,27.89
100,17,1968.67,50.80,27.89
100,18,1927.09,51.89,27.90
100,19,1976.80,50.59,27.90
100,20,1945.06,51.41,27.90
200,1,3769.91,53.05,27.93
200,2,4069.22,49.15,27.96
200,3,3953.46,50.59,27.97
200,4,3906.74,51.19,27.91
200,5,3914.97,51.09,27.89
200,6,3887.44,51.45,27.89
200,7,3898.92,51.30,27.89
200,8,3944.34,50.71,27.90
200,9,3942.65,50.73,27.91
200,10,3897.38,51.32,27.91
200,11,3939.53,50.77,27.91
200,12,3888.03,51.44,27.85
200,13,3894.74,51.35,27.90
200,14,3918.34,51.04,27.91
200,15,3883.83,51.50,27.91
200,16,3952.14,50.61,27.92
200,17,3897.02,51.32,27.92
200,18,3912.39,51.12,27.93
200,19,3888.34,51.44,27.96
200,20,3915.91,51.07,27.97
500,1,9265.78,53.96,27.98
500,2,9897.66,50.52,28.19
500,3,9889.60,50.56,28.31
500,4,9931.68,50.34,28.32
500,5,9857.12,50.72,28.33
500,6,9860.46,50.71,28.04
500,7,9847.72,50.77,28.25
500,8,9886.95,50.57,28.30
500,9,9857.94,50.72,28.31
500,10,9881.66,50.60,27.98
500,11,9848.67,50.77,28.19
500,12,9834.31,50.84,28.24
500,13,9899.47,50.51,28.32
500,14,9892.84,50.54,28.32
500,15,9818.70,50.92,27.97
500,16,9909.36,50.46,28.23
500,17,10171.17,49.16,28.37
500,18,10095.82,49.53,28.40
500,19,10005.42,49.97,28.10
500,20,10182.01,49.11,28.23
1000,1,18574.90,53.84,28.36
1000,2,20096.56,49.76,28.66
1000,3,20444.74,48.91,28.84
1000,4,20095.30,49.76,28.29
1000,5,20201.92,49.50,28.32
1000,6,20129.04,49.68,28.30
1000,7,20147.92,49.63,28.90
1000,8,20066.70,49.83,28.31
1000,9,20010.32,49.97,28.90
1000,10,20048.10,49.88,28.30
1000,11,20072.18,49.82,28.33
1000,12,19954.38,50.11,28.34
1000,13,19994.37,50.01,28.35
1000,14,20055.42,49.86,28.37
1000,15,19983.49,50.04,28.34
1000,16,20109.25,49.73,28.32
1000,17,20054.37,49.86,28.34
1000,18,20024.23,49.94,28.29
1000,19,20052.31,49.87,28.82
1000,20,19987.49,50.03,28.35
